step,elapsed,sim_time,wf0_total_traces,wf0_violation_rate,wf0_violations,total_violations,node0_avg_cpu_threads,node0_avg_cpu_usage_pct,node1_avg_cpu_threads,node1_avg_cpu_usage_pct,node2_avg_cpu_threads,node2_avg_cpu_usage_pct
1,10.0,10.0,1,0.0,0,0,0.8181818181818182,20.454545454545457,0.5454545454545454,13.636363636363635,0.18181818181818182,4.545454545454546
2,10.0,20.0,4,0.25,1,1,1.5,37.5,1.0,25.0,0.8,20.0
3,10.0,30.0,3,0.0,0,0,1.3,32.5,0.9,22.5,0.4,10.0
4,10.0,40.0,2,0.0,0,0,1.5,37.5,0.5,12.5,0.2,5.0
5,10.0,50.0,5,0.4,2,2,2.3,57.49999999999999,1.3,32.5,0.5,12.5
6,10.0,60.0,4,0.0,0,0,2.2,55.00000000000001,1.6,40.0,0.8,20.0
7,10.0,70.0,8,0.0,0,0,3.2,80.0,2.3,57.49999999999999,1.0,25.0
8,10.0,80.0,4,0.0,0,0,1.3,32.5,0.9,22.5,0.4,10.0
9,10.0,90.0,5,0.0,0,0,2.2,55.00000000000001,1.6,40.0,0.7,17.5
10,10.0,100.0,4,0.0,0,0,2.0,50.0,1.3,32.5,0.5,12.5
11,10.0,110.0,4,0.0,0,0,1.2,30.0,0.6,15.0,0.5,12.5
12,10.0,120.0,3,0.3333333333333333,1,1,2.9,72.5,1.0,25.0,0.6,15.0
13,10.0,130.0,3,1.0,3,3,3.0,75.0,1.0,25.0,0.5,12.5
14,10.0,140.0,4,1.0,4,4,3.0,75.0,1.0,25.0,0.5,12.5
15,10.0,150.0,5,1.0,5,5,3.0,75.0,1.8,45.0,0.9,22.5
16,10.0,160.0,8,1.0,8,8,3.0,75.0,2.0,50.0,1.0,25.0
17,10.0,170.0,6,0.8333333333333334,5,5,2.1,52.5,1.4,35.0,0.7,17.5
18,10.0,180.0,6,0.3333333333333333,2,2,3.0,75.0,1.9,47.5,1.1,27.500000000000004
