step,elapsed,sim_time,wf0_total_traces,wf0_violation_rate,wf0_violations,total_violations,node0_avg_cpu_threads,node0_avg_cpu_usage_pct,node1_avg_cpu_threads,node1_avg_cpu_usage_pct,node2_avg_cpu_threads,node2_avg_cpu_usage_pct
1,10.0,10.0,1,0.0,0,0,0.8181818181818182,20.454545454545457,0.5454545454545454,13.636363636363635,0.18181818181818182,4.545454545454546
2,10.0,20.0,2,0.5,1,1,0.8,20.0,0.6,15.0,0.2,5.0
3,10.0,30.0,3,0.0,0,0,2.4,60.0,0.9,22.5,0.3,7.5
4,10.0,40.0,5,0.2,1,1,2.7,67.5,1.7,42.5,0.8,20.0
5,10.0,50.0,7,0.0,0,0,4.0,100.0,2.9,72.5,1.0,25.0
6,10.0,60.0,7,0.2857142857142857,2,2,3.5,87.5,2.6,65.0,1.0,25.0
7,10.0,70.0,5,0.2,1,1,2.0,50.0,1.0,25.0,0.4,10.0
8,10.0,80.0,3,0.6666666666666666,2,2,3.8,95.0,1.0,25.0,0.5,12.5
9,10.0,90.0,4,1.0,4,4,4.0,100.0,1.0,25.0,0.6,15.0
10,10.0,100.0,7,1.0,7,7,4.0,100.0,2.5,62.5,1.4,35.0
11,10.0,110.0,10,1.0,10,10,4.0,100.0,2.7,67.5,1.2,30.0
12,10.0,120.0,7,0.42857142857142855,3,3,2.9,72.5,2.0,50.0,0.9,22.5
13,10.0,130.0,5,0.0,0,0,1.5,37.5,0.8,20.0,0.6,15.0
14,10.0,140.0,3,0.0,0,0,2.8,70.0,1.0,25.0,0.4,10.0
15,10.0,150.0,4,0.75,3,3,1.8,45.0,1.1,27.500000000000004,0.9,22.5
16,10.0,160.0,3,0.0,0,0,0.8,20.0,0.5,12.5,0.1,2.5
17,10.0,170.0,3,0.0,0,0,1.2,30.0,0.9,22.5,0.4,10.0
18,10.0,180.0,0,0.0,0,0,0.2,5.0,0.2,5.0,0.1,2.5
