source,target
node0_avg_cpu_threads,node0_cpu_usage_pct
node0_avg_cpu_threads,node1_avg_cpu_threads
node0_avg_cpu_threads,node1_cpu_usage_pct
node0_avg_cpu_threads,node2_avg_cpu_threads
node0_avg_cpu_threads,node2_cpu_usage_pct
node0_avg_cpu_threads,s0_arrival_rate
node0_avg_cpu_threads,s0_avg_latency
node0_avg_cpu_threads,s0_avg_queue_size
node0_avg_cpu_threads,s1_avg_latency
node0_avg_cpu_threads,s1_avg_queue_size
node0_avg_cpu_threads,s1_avg_throughput
node0_avg_cpu_threads,s3_arrival_rate
node0_avg_cpu_threads,s3_departure_rate
node0_avg_cpu_threads,s4_arrival_rate
node0_avg_cpu_threads,s4_avg_latency
node0_avg_cpu_threads,s4_avg_queue_size
node0_avg_cpu_threads,s4_avg_throughput
node0_avg_cpu_threads,s4_departure_rate
node0_avg_cpu_threads,s5_arrival_rate
node0_avg_cpu_threads,s5_departure_rate
node0_avg_cpu_threads,s6_arrival_rate
node0_avg_cpu_threads,s6_departure_rate
node0_avg_cpu_threads,s7_arrival_rate
node0_avg_cpu_threads,s7_avg_latency
node0_avg_cpu_threads,s7_avg_queue_size
node0_avg_cpu_threads,s7_departure_rate
node0_avg_cpu_threads,s8_arrival_rate
node0_avg_cpu_threads,s8_avg_latency
node0_avg_cpu_threads,s8_avg_queue_size
node0_avg_cpu_threads,s8_departure_rate
node0_avg_cpu_threads,wf0_avg_e2e_latency
node0_avg_cpu_threads,wf0_violation_rate
node0_cpu_usage_pct,node1_cpu_usage_pct
node0_cpu_usage_pct,node2_cpu_usage_pct
node0_cpu_usage_pct,wf0_avg_e2e_latency
node0_cpu_usage_pct,wf0_violation_rate
node1_avg_cpu_threads,node0_cpu_usage_pct
node1_avg_cpu_threads,node1_cpu_usage_pct
node1_avg_cpu_threads,node2_avg_cpu_threads
node1_avg_cpu_threads,node2_cpu_usage_pct
node1_avg_cpu_threads,s0_arrival_rate
node1_avg_cpu_threads,s0_avg_latency
node1_avg_cpu_threads,s0_avg_throughput
node1_avg_cpu_threads,s1_avg_throughput
node1_avg_cpu_threads,s3_arrival_rate
node1_avg_cpu_threads,s3_avg_latency
node1_avg_cpu_threads,s3_avg_queue_size
node1_avg_cpu_threads,s3_avg_throughput
node1_avg_cpu_threads,s3_departure_rate
node1_avg_cpu_threads,s4_arrival_rate
node1_avg_cpu_threads,s4_avg_queue_size
node1_avg_cpu_threads,s4_avg_throughput
node1_avg_cpu_threads,s4_departure_rate
node1_avg_cpu_threads,s5_arrival_rate
node1_avg_cpu_threads,s5_avg_queue_size
node1_avg_cpu_threads,s5_departure_rate
node1_avg_cpu_threads,s6_arrival_rate
node1_avg_cpu_threads,s6_avg_latency
node1_avg_cpu_threads,s6_avg_throughput
node1_avg_cpu_threads,s6_departure_rate
node1_avg_cpu_threads,s7_arrival_rate
node1_avg_cpu_threads,s7_avg_latency
node1_avg_cpu_threads,s7_avg_queue_size
node1_avg_cpu_threads,s7_avg_throughput
node1_avg_cpu_threads,s7_departure_rate
node1_avg_cpu_threads,s8_arrival_rate
node1_avg_cpu_threads,s8_avg_latency
node1_avg_cpu_threads,s8_avg_queue_size
node1_avg_cpu_threads,s8_departure_rate
node1_avg_cpu_threads,wf0_avg_e2e_latency
node1_avg_cpu_threads,wf0_violation_rate
node1_avg_cpu_threads,wf1_avg_e2e_latency
node1_avg_cpu_threads,wf2_avg_e2e_latency
node1_cpu_usage_pct,node2_cpu_usage_pct
node1_cpu_usage_pct,wf0_avg_e2e_latency
node1_cpu_usage_pct,wf0_violation_rate
node1_cpu_usage_pct,wf1_avg_e2e_latency
node1_cpu_usage_pct,wf2_avg_e2e_latency
node2_avg_cpu_threads,node0_cpu_usage_pct
node2_avg_cpu_threads,node1_cpu_usage_pct
node2_avg_cpu_threads,node2_cpu_usage_pct
node2_avg_cpu_threads,s0_avg_latency
node2_avg_cpu_threads,s0_avg_throughput
node2_avg_cpu_threads,s0_departure_rate
node2_avg_cpu_threads,s1_avg_latency
node2_avg_cpu_threads,s1_avg_throughput
node2_avg_cpu_threads,s1_departure_rate
node2_avg_cpu_threads,s2_avg_throughput
node2_avg_cpu_threads,s2_departure_rate
node2_avg_cpu_threads,s3_avg_latency
node2_avg_cpu_threads,s3_avg_queue_size
node2_avg_cpu_threads,s3_avg_throughput
node2_avg_cpu_threads,s3_departure_rate
node2_avg_cpu_threads,s4_arrival_rate
node2_avg_cpu_threads,s4_avg_queue_size
node2_avg_cpu_threads,s4_departure_rate
node2_avg_cpu_threads,s5_arrival_rate
node2_avg_cpu_threads,s5_avg_queue_size
