task_i,task_j,weight
s0_avg_threads,s1_avg_threads,0.23491587460453972
s0_avg_threads,s2_avg_threads,0.036983228754957166
s0_avg_threads,s3_avg_threads,2.0784264873475037e-15
s0_avg_threads,s6_avg_threads,0.04003658327856617
s0_avg_threads,s7_avg_threads,0.04135358137556231
s1_avg_threads,s2_avg_threads,0.508313212903809
s1_avg_threads,s3_avg_threads,8.922331897520307e-15
s1_avg_threads,s6_avg_threads,0.5056670209349268
s1_avg_threads,s7_avg_threads,0.017565713905389385
s2_avg_threads,s3_avg_threads,1.1648956404976698e-14
s2_avg_threads,s4_avg_threads,0.4133321892572728
s2_avg_threads,s6_avg_threads,0.9997464021225673
s2_avg_threads,s7_avg_threads,0.5740487027874174
s3_avg_threads,s4_avg_threads,4.5587840601121014e-15
s3_avg_threads,s6_avg_threads,1.1630191093440807e-14
s3_avg_threads,s7_avg_threads,1.2728302566959322e-14
s4_avg_threads,s6_avg_threads,0.40960141791417065
s4_avg_threads,s7_avg_threads,0.3612702068136596
s6_avg_threads,s7_avg_threads,0.5744026334190138
