,wf0_avg_e2e_latency,wf0_violation_rate,wf1_avg_e2e_latency,wf1_violation_rate,wf2_avg_e2e_latency,wf2_violation_rate,wf3_avg_e2e_latency,wf3_violation_rate,node0_cpu_usage_pct,node1_cpu_usage_pct,node2_cpu_usage_pct
s0_avg_threads,0.1359753638123963,0.098673679087155,0.0,0.0,0.010819495476212877,0.010358971549489037,0.0,0.0,0.00401788588381407,0.09319932027840587,0.0932898913914229
s1_avg_threads,1.1441241274987492e-16,2.422304781000342e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s2_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s3_avg_threads,0.0,0.0,0.0915837959258465,0.07554063018165942,0.0010472494216958565,0.0008347717601902893,0.0,0.0,0.0,0.0,0.0
s4_avg_threads,0.0,0.0,0.0,0.0,1.1353025596079723e-16,1.3322676295501878e-16,0.0,0.0,0.0,0.0,0.0
s5_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s6_avg_threads,0.0,0.0,0.0,0.0,0.07277217772553086,0.0700134194286266,0.0,0.0,0.0,0.0,0.0
s7_avg_threads,0.0,0.0,0.0,1.2892912544034074e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s8_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s9_avg_threads,0.0,1.211152390500171e-16,0.0,1.2892912544034074e-16,0.0002451814722054935,0.00022784562448898704,0.013872013663087473,0.00340607543819813,0.005119626882952827,0.030745622244914658,0.022226977506030216
s10_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.000340084463127762,0.00027604895715721366,0.0,0.0,0.0
s11_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
