,wf0_avg_e2e_latency,wf0_violation_rate,wf1_avg_e2e_latency,wf1_violation_rate,wf2_avg_e2e_latency,wf2_violation_rate,wf3_avg_e2e_latency,wf3_violation_rate,wf4_avg_e2e_latency,wf4_violation_rate,node0_cpu_usage_pct,node1_cpu_usage_pct,node2_cpu_usage_pct
s0_avg_threads,0.13238696876526787,0.0979450106365997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3322676295501876e-16,0.0,0.0,0.0
s1_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s2_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s3_avg_threads,0.0,0.0,0.07066838818710723,0.040687134027140116,0.0,0.0,0.01044762536817477,0.0074110531462355704,0.0,1.3322676295501876e-16,0.0,0.045541508027436034,0.03617219582765967
s4_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.00662408745890988,0.004729416595764937,0.0,0.0,0.0,0.0,0.0
s5_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s6_avg_threads,0.0,0.0,0.0,0.0,0.10137228124468169,0.08422412911552869,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s7_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s8_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s9_avg_threads,1.0432404286564212e-16,0.0,0.0,0.0,0.0,0.0,0.0493405298261558,0.03957502273749481,1.4501305662546513e-16,0.0,0.0,3.746487214784517e-05,7.900462744136016e-06
s10_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,2.3027408817730104e-05,7.531535955960216e-06,0.0,1.3322676295501876e-16,0.0,4.624888154271327e-07,1.1502238491499211e-07
s11_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s12_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0005142690247170242,0.00016027317567118886,0.0810056717777355,0.036538385132029956,0.004226242170669866,0.0005233213873059579,9.788933938029809e-05
s13_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s14_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
