episode,total_violations,mean_step_total_violations,n_steps
1,37,7.4,5
2,49,9.8,5
3,42,8.4,5
4,37,7.4,5
5,46,9.2,5
6,55,11.0,5
7,48,9.6,5
8,47,9.4,5
9,31,6.2,5
10,43,8.6,5
11,37,7.4,5
12,37,7.4,5
13,45,9.0,5
14,41,8.2,5
15,43,8.6,5
16,40,8.0,5
17,32,6.4,5
18,46,9.2,5
19,36,7.2,5
20,47,9.4,5
21,45,9.0,5
22,40,8.0,5
23,49,9.8,5
24,33,6.6,5
25,38,7.6,5
26,46,7.666666666666667,6
27,49,9.8,5
28,34,6.8,5
29,44,8.8,5
30,47,9.4,5
31,35,7.0,5
32,28,5.6,5
33,26,4.333333333333333,6
34,41,8.2,5
35,43,8.6,5
36,44,7.333333333333333,6
37,31,6.2,5
38,24,4.8,5
39,40,8.0,5
40,41,8.2,5
41,45,9.0,5
42,49,9.8,5
43,35,7.0,5
44,39,7.8,5
45,32,6.4,5
46,45,9.0,5
47,37,7.4,5
48,40,8.0,5
49,44,8.8,5
50,42,8.4,5
51,54,10.8,5
52,43,7.166666666666667,6
53,35,7.0,5
54,29,5.8,5
55,45,9.0,5
56,33,6.6,5
57,33,6.6,5
58,45,7.5,6
59,38,7.6,5
60,28,5.6,5
61,47,9.4,5
62,44,8.8,5
63,41,8.2,5
64,37,7.4,5
65,41,8.2,5
66,43,8.6,5
67,28,5.6,5
68,30,6.0,5
69,29,5.8,5
70,45,9.0,5
71,41,8.2,5
72,41,8.2,5
73,52,10.4,5
74,37,7.4,5
75,45,9.0,5
76,22,4.4,5
77,41,8.2,5
78,38,7.6,5
79,34,6.8,5
80,31,6.2,5
81,39,7.8,5
82,30,6.0,5
83,43,8.6,5
84,52,10.4,5
85,44,7.333333333333333,6
86,36,7.2,5
87,39,7.8,5
88,36,7.2,5
89,38,7.6,5
90,35,7.0,5
91,50,10.0,5
92,38,7.6,5
93,41,8.2,5
94,43,8.6,5
95,32,6.4,5
96,44,8.8,5
97,24,4.8,5
98,33,6.6,5
99,41,8.2,5
100,41,8.2,5
