,wf0_avg_e2e_latency,wf0_violation_rate,wf1_avg_e2e_latency,wf1_violation_rate,wf2_avg_e2e_latency,wf2_violation_rate,wf3_avg_e2e_latency,wf3_violation_rate,wf4_avg_e2e_latency,wf4_violation_rate,wf5_avg_e2e_latency,wf5_violation_rate,node0_cpu_usage_pct,node1_cpu_usage_pct,node2_cpu_usage_pct
s0_avg_threads,0.010056299191141748,0.0027204996489391675,0.009162228553887528,0.006942462879834457,0.037100508307168045,0.026937079310052358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s1_avg_threads,0.0,0.0,2.747640223280737e-16,3.055659700803183e-16,2.538387997478921e-16,1.4481169886415086e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s2_avg_threads,0.0,0.0,0.019385513045686496,0.0138477410766689,0.00022480259147993192,0.00018473102560659973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s3_avg_threads,0.0,0.0,0.09664552602255909,0.062216969378575016,0.004968253282904802,0.0038648885872400616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s4_avg_threads,0.0,0.0,2.747640223280737e-16,3.055659700803183e-16,2.538387997478921e-16,2.896233977283017e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s5_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s6_avg_threads,0.0,0.0,0.0,0.0,0.06385219677032775,0.03770043097627677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s7_avg_threads,0.0,0.0,0.0,0.0,2.538387997478921e-16,1.4481169886415086e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s8_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s9_avg_threads,0.0,3.806478941571965e-16,0.0,6.111319401606366e-16,6.345969993697303e-16,5.792467954566034e-16,0.09475817414950174,0.0634089150087599,0.0,0.0,0.0,4.440892098500626e-16,0.01743376210531664,2.358133096845747e-15,2.050435443325386e-15
s10_avg_threads,0.0,2.5376526277146434e-16,0.0,6.111319401606366e-16,2.538387997478921e-16,2.896233977283017e-16,0.00013267483864704948,2.1002447775681737e-05,0.0,0.0,0.0,4.440892098500626e-16,9.670705953580767e-05,2.358133096845747e-15,0.0
s11_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s12_avg_threads,0.0,1.2688263138573217e-16,1.3738201116403685e-16,0.0,2.538387997478921e-16,1.4481169886415086e-16,0.0,0.0,0.07065780962437979,0.031140116466172735,0.0,1.4802973661668753e-16,0.006217128948841026,1.1790665484228735e-15,0.0
s13_avg_threads,0.0,0.0,2.747640223280737e-16,3.055659700803183e-16,2.538387997478921e-16,2.896233977283017e-16,0.0,1.5860328923216522e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s14_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s15_avg_threads,0.0,0.0,0.0,3.055659700803183e-16,1.2691939987394605e-16,0.0,2.3301445815719785e-16,0.0,0.0,0.0,0.12587780425020204,0.08521035756014017,0.0,0.0,0.0
s16_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s17_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
