,s0_avg_threads,s1_avg_threads,s2_avg_threads,s3_avg_threads,s4_avg_threads,s5_avg_threads,s6_avg_threads,s7_avg_threads,s8_avg_threads,s9_avg_threads,s10_avg_threads,s11_avg_threads,s12_avg_threads,s13_avg_threads,s14_avg_threads,s15_avg_threads,s16_avg_threads,s17_avg_threads,s18_avg_threads,s19_avg_threads,s20_avg_threads
s0_avg_threads,0.0,0.0,0.0,0.05612097836790757,5.028629123179784e-07,0.0,0.014591083535293469,0.0,0.0,0.0,0.0,0.0,0.0003673385964371702,0.5767749994145429,1.3529982828955221e-06,1.2780888828712031e-14,0.0,0.014547313940017428,0.7876080658918749,0.0,0.0
s1_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s2_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s3_avg_threads,0.05612097836790757,0.0,0.0,0.0,1.86130639555016e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010026970568895847,1.9137075683267098e-15,0.0,0.0,0.4002454114861528,0.2548741031041957,0.0,0.0
s4_avg_threads,5.028629123179784e-07,0.0,0.0,1.86130639555016e-15,0.0,0.0,3.304437364674075e-05,0.0,0.0,0.0,0.0,0.0,8.321353447029749e-07,5.572063275728536e-09,0.8969092559893037,2.036269586325148e-19,0.0,2.87564631794622e-20,5.6537160495901396e-06,0.0,0.0
s5_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s6_avg_threads,0.014591083535293469,0.0,0.0,0.0,3.304437364674075e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02408616966875437,0.00016170651865607386,8.892384377672917e-05,5.92612937735942e-15,0.0,1.2749586212976166e-15,0.1641018070011996,0.0,0.0
s7_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s8_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s9_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9950195096786588,0.9911747758696855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s10_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9950195096786588,0.0,0.9992080238660724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s11_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9911747758696855,0.9992080238660724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s12_avg_threads,0.0003673385964371702,0.0,0.0,0.0,8.321353447029749e-07,0.0,0.02408616966875437,0.0,0.0,0.0,0.0,0.0,0.0,4.070323292007839e-06,2.2389142743556346e-06,2.9799605600923018e-15,0.0,2.0441025231369908e-17,0.004129940262320783,0.0,0.0
s13_avg_threads,0.5767749994145429,0.0,0.0,0.0010026970568895847,5.572063275728536e-09,0.0,0.00016170651865607386,0.0,0.0,0.0,0.0,0.0,4.070323292007839e-06,0.0,1.499214301557879e-08,1.6502730634905814e-14,0.0,0.00026448298301786196,0.006330697594997416,0.0,0.0
s14_avg_threads,1.3529982828955221e-06,0.0,0.0,1.9137075683267098e-15,0.8969092559893037,0.0,8.892384377672917e-05,0.0,0.0,0.0,0.0,0.0,2.2389142743556346e-06,1.499214301557879e-08,0.0,5.478833108959467e-19,0.0,7.753269019860804e-20,1.5211856456801869e-05,0.0,0.0
s15_avg_threads,1.2780888828712031e-14,0.0,0.0,0.0,2.036269586325148e-19,0.0,5.92612937735942e-15,0.0,0.0,0.0,0.0,0.0,2.9799605600923018e-15,1.6502730634905814e-14,5.478833108959467e-19,0.0,0.0,5.3952827327971776e-15,2.5092322422415103e-13,0.0,0.0
s16_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s17_avg_threads,0.014547313940017428,0.0,0.0,0.4002454114861528,2.87564631794622e-20,0.0,1.2749586212976166e-15,0.0,0.0,0.0,0.0,0.0,2.0441025231369908e-17,0.00026448298301786196,7.753269019860804e-20,5.3952827327971776e-15,0.0,0.0,0.06415027638159829,0.0,0.0
s18_avg_threads,0.7876080658918749,0.0,0.0,0.2548741031041957,5.6537160495901396e-06,0.0,0.1641018070011996,0.0,0.0,0.0,0.0,0.0,0.004129940262320783,0.006330697594997416,1.5211856456801869e-05,2.5092322422415103e-13,0.0,0.06415027638159829,0.0,0.0,0.0
s19_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s20_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
