,wf0_avg_e2e_latency,wf0_violation_rate,wf1_avg_e2e_latency,wf1_violation_rate,wf2_avg_e2e_latency,wf2_violation_rate,wf3_avg_e2e_latency,wf3_violation_rate,wf4_avg_e2e_latency,wf4_violation_rate,wf5_avg_e2e_latency,wf5_violation_rate,wf6_avg_e2e_latency,wf6_violation_rate,node0_cpu_usage_pct,node1_cpu_usage_pct,node2_cpu_usage_pct
s0_avg_threads,0.01312160293174229,0.0022424684212182405,0.0012523745425340243,0.00033192785527449975,0.00031627752087231073,0.0001245549126568538,0.0,0.0,0.0,0.0,2.4397222854827036e-16,1.5860328923216522e-16,3.8507888776447246e-16,1.5860328923216522e-16,0.0,0.0,0.018476681516444722
s1_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s2_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s3_avg_threads,0.0,0.0,0.09628413470695943,0.04206380003692431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2835962925482416e-16,1.5860328923216522e-16,0.0,0.0,0.0
s4_avg_threads,0.0,0.0,0.0,0.0,1.0287627213435724e-06,4.0366844457549534e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.026983183197818846,0.018542022534295186,0.0,0.0,1.4202954309522952e-15
s5_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s6_avg_threads,0.0,0.0,0.0,0.0,0.15641842575525583,0.10211352351809388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s7_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s8_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s9_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.13138563940195205,0.0490586825525682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s10_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,2.5499515455395988e-05,6.77759436129577e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s11_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.00010074017012359682,2.3173760167313367e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s12_avg_threads,0.0,0.0,0.0,0.0,0.003163922045339569,0.0012030480039069147,0.0,0.0,0.1150029628625384,0.07486813299053398,2.4397222854827036e-16,3.1720657846433045e-16,0.0,0.0,0.0,0.0,0.0
s13_avg_threads,0.02194856819332949,0.008538104336254524,2.3053904402839167e-05,6.230308074173241e-06,3.616973949226339e-06,1.4278495933542753e-06,0.0,0.0,2.3566849098015644e-16,3.172065784643304e-16,2.4397222854827036e-16,3.1720657846433045e-16,1.2835962925482416e-16,0.0,0.0,0.0,0.0001495746518666021
s14_avg_threads,0.0,0.0,0.0,0.0,7.811544040551886e-07,3.072470167810236e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.004521045979644639,0.008061284653459693,0.0,0.0,0.0
s15_avg_threads,0.0,0.0,0.0,0.0,3.0902596923937144e-16,1.2688263138573217e-16,0.0,0.0,0.0,0.0,0.04320611552963593,0.03460686126841076,0.0,0.0,0.0,0.0,0.0
s16_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s17_avg_threads,0.0,1.2688263138573217e-16,0.0,0.05438973872960634,0.0,1.2688263138573217e-16,0.0,0.0,0.0,0.0,1.2198611427413518e-16,3.1720657846433045e-16,0.0,0.0,0.0,0.0,0.0
s18_avg_threads,0.0,1.2688263138573217e-16,0.0004843153736976574,0.0001242214711276446,0.0003015935548094678,0.00011931978268161661,0.0,0.0,0.0,1.586032892321652e-16,3.6595834282240557e-16,3.1720657846433045e-16,2.5671925850964832e-16,1.5860328923216522e-16,0.0,0.0,0.0018419619440014265
s19_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s20_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
