episode,total_violations,mean_step_total_violations,n_steps
1,35,8.75,4
2,28,7.0,4
3,37,9.25,4
4,39,9.75,4
5,37,9.25,4
6,41,10.25,4
7,34,8.5,4
8,41,10.25,4
9,39,9.75,4
10,33,8.25,4
11,41,10.25,4
12,36,9.0,4
13,41,10.25,4
14,38,9.5,4
15,40,10.0,4
16,41,10.25,4
17,35,8.75,4
18,37,9.25,4
19,39,9.75,4
20,37,9.25,4
21,43,10.75,4
22,33,8.25,4
23,36,9.0,4
24,36,9.0,4
25,34,8.5,4
26,31,7.75,4
27,37,9.25,4
28,36,9.0,4
29,45,9.0,5
30,35,8.75,4
31,34,8.5,4
32,34,8.5,4
33,38,9.5,4
34,53,10.6,5
35,29,7.25,4
36,30,7.5,4
37,34,8.5,4
38,34,8.5,4
39,39,9.75,4
40,34,8.5,4
41,36,9.0,4
42,39,9.75,4
43,40,10.0,4
44,25,6.25,4
45,42,10.5,4
46,41,10.25,4
47,36,9.0,4
48,37,9.25,4
49,39,7.8,5
50,40,10.0,4
51,38,9.5,4
52,39,9.75,4
53,30,7.5,4
54,37,9.25,4
55,35,8.75,4
56,49,9.8,5
57,42,10.5,4
58,44,11.0,4
59,36,9.0,4
60,41,10.25,4
61,34,8.5,4
62,43,8.6,5
63,34,8.5,4
64,35,7.0,5
65,36,9.0,4
66,41,10.25,4
67,35,8.75,4
68,34,8.5,4
69,42,10.5,4
70,37,9.25,4
71,38,9.5,4
72,42,10.5,4
73,34,8.5,4
74,38,9.5,4
75,37,9.25,4
76,30,7.5,4
77,39,9.75,4
78,36,9.0,4
79,40,10.0,4
80,42,10.5,4
81,36,9.0,4
82,35,8.75,4
83,37,9.25,4
84,50,10.0,5
85,38,9.5,4
86,35,8.75,4
87,37,9.25,4
88,32,8.0,4
89,40,10.0,4
90,35,8.75,4
91,41,10.25,4
92,45,11.25,4
93,37,9.25,4
94,36,9.0,4
95,36,9.0,4
96,42,10.5,4
97,30,7.5,4
98,55,11.0,5
99,38,7.6,5
100,49,9.8,5
