episode,total_violations,mean_step_total_violations,n_steps
1,40,10.0,4
2,42,10.5,4
3,37,9.25,4
4,38,9.5,4
5,38,9.5,4
6,38,9.5,4
7,35,8.75,4
8,39,9.75,4
9,31,7.75,4
10,42,10.5,4
11,29,7.25,4
12,39,9.75,4
13,38,9.5,4
14,45,11.25,4
15,40,10.0,4
16,39,9.75,4
17,54,10.8,5
18,34,8.5,4
19,38,9.5,4
20,43,10.75,4
21,40,10.0,4
22,44,11.0,4
23,36,9.0,4
24,38,9.5,4
25,43,10.75,4
26,35,8.75,4
27,33,8.25,4
28,36,9.0,4
29,37,9.25,4
30,40,10.0,4
31,42,10.5,4
32,41,10.25,4
33,38,9.5,4
34,47,9.4,5
35,39,9.75,4
36,39,9.75,4
37,42,10.5,4
38,29,7.25,4
39,40,10.0,4
40,33,8.25,4
41,42,10.5,4
42,30,7.5,4
43,51,10.2,5
44,44,8.8,5
45,41,10.25,4
46,45,11.25,4
47,36,9.0,4
48,40,10.0,4
49,42,10.5,4
50,34,8.5,4
51,37,9.25,4
52,37,9.25,4
53,38,9.5,4
54,44,11.0,4
55,41,10.25,4
56,37,9.25,4
57,40,10.0,4
58,37,9.25,4
59,36,9.0,4
60,29,7.25,4
61,40,10.0,4
62,36,9.0,4
63,32,8.0,4
64,33,8.25,4
65,37,9.25,4
66,43,10.75,4
67,43,10.75,4
68,37,7.4,5
69,40,10.0,4
70,30,7.5,4
71,38,9.5,4
72,30,7.5,4
73,39,9.75,4
74,36,9.0,4
75,44,11.0,4
76,40,10.0,4
77,40,10.0,4
78,36,9.0,4
79,35,8.75,4
80,33,8.25,4
81,40,10.0,4
82,46,11.5,4
83,37,9.25,4
84,38,9.5,4
85,42,10.5,4
86,41,10.25,4
87,46,9.2,5
88,42,10.5,4
89,45,9.0,5
90,34,8.5,4
91,38,9.5,4
92,37,9.25,4
93,41,10.25,4
94,38,9.5,4
95,36,9.0,4
96,40,10.0,4
97,39,9.75,4
98,29,7.25,4
99,30,7.5,4
100,36,9.0,4
