episode,total_violations,mean_step_total_violations,n_steps
1,39,9.75,4
2,45,11.25,4
3,39,9.75,4
4,40,10.0,4
5,34,8.5,4
6,42,10.5,4
7,40,10.0,4
8,38,9.5,4
9,42,10.5,4
10,33,8.25,4
11,41,10.25,4
12,39,9.75,4
13,42,10.5,4
14,41,10.25,4
15,39,9.75,4
16,44,11.0,4
17,41,10.25,4
18,41,10.25,4
19,43,10.75,4
20,41,10.25,4
21,39,9.75,4
22,41,10.25,4
23,42,10.5,4
24,41,10.25,4
25,39,9.75,4
26,46,11.5,4
27,42,10.5,4
28,43,10.75,4
29,44,11.0,4
30,38,9.5,4
31,39,9.75,4
32,38,9.5,4
33,42,10.5,4
34,40,10.0,4
35,38,9.5,4
36,38,9.5,4
37,35,8.75,4
38,40,10.0,4
39,44,11.0,4
40,43,10.75,4
41,43,10.75,4
42,39,9.75,4
43,39,9.75,4
44,42,10.5,4
45,39,9.75,4
46,43,10.75,4
47,39,9.75,4
48,39,9.75,4
49,39,9.75,4
50,43,10.75,4
51,38,9.5,4
52,39,9.75,4
53,41,10.25,4
54,40,10.0,4
55,37,9.25,4
56,40,10.0,4
57,43,10.75,4
58,33,8.25,4
59,43,10.75,4
60,35,8.75,4
61,36,9.0,4
62,40,10.0,4
63,39,9.75,4
64,43,10.75,4
65,43,10.75,4
66,37,9.25,4
67,45,11.25,4
68,41,10.25,4
69,39,9.75,4
70,43,10.75,4
71,41,10.25,4
72,42,10.5,4
73,38,9.5,4
74,41,10.25,4
75,43,10.75,4
76,39,9.75,4
77,43,10.75,4
78,43,10.75,4
79,41,10.25,4
80,36,9.0,4
81,41,10.25,4
82,42,10.5,4
83,38,9.5,4
84,40,10.0,4
85,40,10.0,4
86,40,10.0,4
87,37,9.25,4
88,40,10.0,4
89,41,10.25,4
90,38,9.5,4
91,42,10.5,4
92,41,10.25,4
93,40,10.0,4
94,42,10.5,4
95,39,9.75,4
96,40,10.0,4
97,41,10.25,4
98,39,9.75,4
99,42,10.5,4
100,34,8.5,4
