,s0_avg_threads,s1_avg_threads,s2_avg_threads,s3_avg_threads,s4_avg_threads,s5_avg_threads,s6_avg_threads,s7_avg_threads,s8_avg_threads,s9_avg_threads,s10_avg_threads,s11_avg_threads,s12_avg_threads,s13_avg_threads,s14_avg_threads,s15_avg_threads,s16_avg_threads,s17_avg_threads,s18_avg_threads,s19_avg_threads,s20_avg_threads,s21_avg_threads,s22_avg_threads,s23_avg_threads,s24_avg_threads,s25_avg_threads,s26_avg_threads,s27_avg_threads,s28_avg_threads,s29_avg_threads
s0_avg_threads,0.0,0.0,0.0,0.6712464322453676,0.0,0.0,0.00027628542727752155,0.0,0.0,0.023320362683941175,0.0,0.0,0.027929813284051752,0.0,0.0,0.0036808852074844043,0.0,0.0,0.0007846141876991195,0.0,0.0,1.8451742391286127e-14,0.0,0.0,0.004707955672755189,0.0,0.0,0.8256773731950087,0.6212840618010029,0.0
s1_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s2_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s3_avg_threads,0.6712464322453676,0.0,0.0,0.0,0.0,0.0,0.1951538385504826,0.0,0.0,0.010201419571445021,0.0,0.0,0.012250155162021745,0.0,0.0,0.0016101916983339575,0.0,0.0,0.2249045129761156,0.0,0.0,0.024472596343298646,0.0,0.0,2.0279404173106086e-13,0.0,0.0,0.3611899792793048,0.9968978892869009,0.0
s4_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s5_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s6_avg_threads,0.00027628542727752155,0.0,0.0,0.1951538385504826,0.0,0.0,0.0,0.0,0.0,4.57131535789508e-14,0.0,0.0,5.3738457015034546e-05,0.0,0.0,3.131427680189962e-17,0.0,0.0,0.3520498586052067,0.0,0.0,0.576970426660389,0.0,0.0,1.1696545738149987e-14,0.0,0.0,7.024258664932413e-15,0.22497777851693576,0.0
s7_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s8_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s9_avg_threads,0.023320362683941175,0.0,0.0,0.010201419571445021,0.0,0.0,4.57131535789508e-14,0.0,0.0,0.0,0.0,0.0,0.3556350850922318,0.0,0.0,0.9910749387346215,0.0,0.0,7.60633257893705e-14,0.0,0.0,4.541861701151325e-14,0.0,0.0,2.0521980897670116e-27,0.0,0.0,0.02819812874881726,0.008895978954161738,0.0
s10_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s11_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s12_avg_threads,0.027929813284051752,0.0,0.0,0.012250155162021745,0.0,0.0,5.3738457015034546e-05,0.0,0.0,0.3556350850922318,0.0,0.0,0.0,0.0,0.0,0.3405793604034465,0.0,0.0,0.00015261013302562794,0.0,0.0,3.428871785645417e-14,0.0,0.0,0.0008757989622174143,0.0,0.0,0.057339494312976885,0.010689231890916516,0.0
s13_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s14_avg_threads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s15_avg_threads,0.0036808852074844043,0.0,0.0,0.0016101916983339575,0.0,0.0,3.131427680189962e-17,0.0,0.0,0.9910749387346215,0.0,0.0,0.3405793604034465,0.0,0.0,0.0,0.0,0.0,2.2563222918196366e-15,0.0,0.0,4.518349971614377e-15,0.0,0.0,0.0,0.0,0.0,0.004445707671413591,0.0014041409982425567,0.0
