episode,total_violations,mean_step_total_violations,n_steps
1,41,10.25,4
2,39,9.75,4
3,38,9.5,4
4,41,10.25,4
5,41,10.25,4
6,38,9.5,4
7,38,9.5,4
8,40,10.0,4
9,43,10.75,4
10,44,11.0,4
11,40,10.0,4
12,26,8.666666666666666,3
13,28,9.333333333333334,3
14,42,10.5,4
15,43,10.75,4
16,46,11.5,4
17,45,11.25,4
18,42,10.5,4
19,38,9.5,4
20,43,10.75,4
21,38,9.5,4
22,40,10.0,4
23,39,9.75,4
24,40,10.0,4
25,42,10.5,4
26,41,10.25,4
27,36,9.0,4
28,39,9.75,4
29,39,9.75,4
30,42,10.5,4
31,40,10.0,4
32,41,10.25,4
33,47,11.75,4
34,44,11.0,4
35,40,10.0,4
36,39,9.75,4
37,40,10.0,4
38,40,10.0,4
39,39,9.75,4
40,36,9.0,4
41,41,10.25,4
42,40,10.0,4
43,44,11.0,4
44,36,9.0,4
45,39,9.75,4
46,41,10.25,4
47,40,10.0,4
48,38,9.5,4
49,38,9.5,4
50,26,8.666666666666666,3
51,42,10.5,4
52,28,9.333333333333334,3
53,42,10.5,4
54,42,10.5,4
55,36,9.0,4
56,43,10.75,4
57,42,10.5,4
58,40,10.0,4
59,36,9.0,4
60,44,11.0,4
61,43,10.75,4
62,43,10.75,4
63,39,9.75,4
64,40,10.0,4
65,40,10.0,4
66,42,10.5,4
67,40,10.0,4
68,37,9.25,4
69,38,9.5,4
70,37,9.25,4
71,38,9.5,4
72,40,10.0,4
73,38,9.5,4
74,21,7.0,3
75,41,10.25,4
76,43,10.75,4
77,37,9.25,4
78,45,11.25,4
79,42,10.5,4
80,39,9.75,4
81,39,9.75,4
82,40,10.0,4
83,39,9.75,4
84,41,10.25,4
85,40,10.0,4
86,43,10.75,4
87,42,10.5,4
88,41,10.25,4
89,41,10.25,4
90,39,9.75,4
91,42,10.5,4
92,39,9.75,4
93,41,10.25,4
94,39,9.75,4
95,41,10.25,4
96,43,10.75,4
97,42,10.5,4
98,40,10.0,4
99,40,10.0,4
100,43,10.75,4
