0,1,D_wf0/λ,D_wf1/λ,u_node0,J
1,1,0.0,0.0,91.66666666666666,45.83333333333333
1,2,28.78787878787879,0.0,80.1418439716312,47.2678916827853
1,3,47.72727272727273,0.0,72.82608695652173,48.34486166007905
1,4,59.09090909090909,0.0,68.88888888888889,49.217171717171716
1,5,66.66666666666667,0.0,66.66666666666666,50.0
2,1,0.0,28.78787878787879,80.1418439716312,47.2678916827853
2,2,0.0,0.0,95.65217391304348,47.82608695652174
2,3,18.181818181818183,0.0,88.88888888888889,48.98989898989899
2,4,33.333333333333336,0.0,83.33333333333333,50.0
2,5,44.15584415584416,0.0,79.734219269103,50.90607067351254
3,1,0.0,47.72727272727273,72.82608695652173,48.34486166007905
3,2,0.0,18.181818181818183,88.88888888888889,48.98989898989899
3,3,0.0,0.0,100.0,50.0
3,4,16.233766233766236,0.0,94.01993355481729,51.0684083358502
3,5,28.40909090909091,0.0,89.88095238095238,52.042748917748916
4,1,0.0,59.09090909090909,68.88888888888889,49.217171717171716
4,2,0.0,33.333333333333336,83.33333333333333,50.0
4,3,0.0,16.233766233766236,94.01993355481729,51.0684083358502
4,4,4.545454545454546,4.545454545454546,100.0,52.27272727272727
4,5,17.17171717171717,0.0,98.1029810298103,53.34441980783444
5,1,0.0,66.66666666666667,66.66666666666666,50.0
5,2,0.0,44.15584415584416,79.734219269103,50.90607067351254
5,3,0.0,28.40909090909091,89.88095238095238,52.042748917748916
5,4,0.0,17.17171717171717,98.1029810298103,53.34441980783444
5,5,9.090909090909092,9.090909090909092,100.0,54.54545454545455
